of HHincome,mean(HHincome),      Freq.,Percent,e(y| y > z),inv Pareto,e(y| y <z)
691,3757068.75,144,0.05,11331485.4090136,3.01604419908835,1874308.47855053
692,3767822.25,226,0.08,11357299.9590444,3.01428761907342,1878007.4181801
693,3781808.0,183,0.07,11383243.4246575,3.01000035555944,1881712.93745818
694,3797329.5,751,0.28,11409311.8573883,3.00456198425454,1885431.32309916
696,3802301.0,65,0.02,11435542.9293103,3.00753226251955,1889165.49922592
697,3814496.5,223,0.08,11461913.3321799,3.00482995126091,1892894.80819429
698,3826784.25,136,0.05,11488424.1970486,3.00210919835593,1896633.33288652
699,3836263.75,188,0.07,11515086.7770035,3.00164105687558,1900381.19874499
700,3847579.0,245,0.09,11541896.2447552,2.99978148460506,1904132.90911564
701,3861844.25,242,0.09,11568843.795614,2.99567850143465,1907891.99246358
702,3877185.5,188,0.07,11595927.0994718,2.99081049887137,1911664.10106886
703,3890007.25,173,0.06,11623156.4982332,2.9879523998916,1915451.23285871
704,3899996.0,346,0.13,11650543.5921986,2.98732193371444,1919248.4559686
705,3907833.0,156,0.06,11678097.7224199,2.98838198111842,1923050.27467115
706,3919889.0,191,0.07,11705805.6107143,2.98625946059041,1926852.54042849
707,3932729.25,197,0.07,11733666.0994624,2.98359367084891,1930663.31759784
708,3945243.25,229,0.08,11761682.0089928,2.98123113422545,1934484.05411006
709,3956629.5,160,0.06,11789859.0938628,2.97977333835852,1938314.07162604
710,3968716.75,183,0.07,11818196.5661232,2.97783825618777,1942151.1732009
711,3983439.25,210,0.08,11846686.5927273,2.9739845016407,1945996.64867869
712,3999483.75,1790,0.66,11875326.0191606,2.96921471906483,1949855.44148423
717,4004361.5,58,0.02,11904157.3910256,2.97279788326445,1953729.97514872
718,4014197.5,218,0.08,11933164.5965074,2.97273978086712,1957599.09123334
719,4026874.75,193,0.07,11962339.097786,2.97062606622815,1961472.15791652
720,4040290.75,198,0.07,11991680.0175926,2.96802402589284,1965354.49361592
721,4053554.5,239,0.09,12021189.777881,2.96559224203869,1969247.43218325
722,4066730.0,175,0.06,12050870.5979478,2.96328268607647,1973150.62893946
723,4081237.25,271,0.1,12080719.411985,2.96006300834018,1977063.86140873
